Thème,Difficulté question,Questions,A,B,C,D,Réponse
Game of Thrones,Expert,Qui fonde les Frères sans Bannière ?,Lem Cape-Citron,Anguy,Beric Dondarrion,Thoros de Myr,C
Game of Thrones,Expert,Quel roi Targaryen a combattu le Roi Vautour à Dorne ?,Maegor Ier,Aegon Ier,Jaehaerys Ier,Aenys Ier,D
Game of Thrones,Expert,Quel est le nom du fondateur de la maison Seaworth ?,Davos Mervault,Allard Mervault,Dale Mervault,Matthos Mervault,A
Game of Thrones,Expert,Qui était le Grand Maestre de Jaehaerys Ier Targaryen ?,Mestre Gerardys,Mestre Luwin,Mestre Desmond,Grand Maestre Benifer,D
Game of Thrones,Expert,Comment s'appelle le dragon monté par Addam de Velaryon ?,Caraxès,Syrax,Seasmoke,Sunfyre,C
Game of Thrones,Expert,Quel est le nom de la mère de Robert Baratheon ?,Selyse Florent,Olenna Tyrell,Cassana Estermont,Lysa Arryn,C
Game of Thrones,Expert,Quel est le nom de l'épée en acier valyrien de la maison Errol ?,Elle n'en possède pas,Dame Désespoir,Lamentation,Crépuscule,A
Game of Thrones,Expert,Qui était le Roi d'au-delà du Mur avant Mance Rayder ?,Gendel,Gorne,Bael le Barde,Raymun Barberouge,D
Game of Thrones,Expert,Quel est le nom du château ancestral de la maison Mallister ?,Salvermer,Vivesaigues,Harrenhal,Les Jumeaux,A
Animaux,Expert,Battements ailes colibri/sec ?,20,50,120,80,D
Animaux,Facile,Lequel de ces animaux est un reptile ?,Le crapaud,Le crocodile,La baleine,Le kangourou,B
Animaux,Intermédiaire,Quel oiseau possède les plus grands yeux de tous les animaux terrestres ?,Le hibou,L'autruche,L'aigle,Le paon,B
Animaux,Facile,Quel animal est le plus petit oiseau du monde ?,Le moineau,Le colibri,Le pigeon,Le canari,B
Animaux,Facile,Quel animal se déplace en rampant ?,Le cheval,L'oiseau,Le chien,Le serpent,D
Animaux,Intermédiaire,Comment s'appelle la femelle du sanglier ?,La truie,La hase,La biche,La laie,D
Animaux,Intermédiaire,Quelle est la nourriture des termites ?,Le sucre,Les feuilles,La viande,Le bois,D
Animaux,Expert,Reproduction sans mâle ?,Mitose,Parthénogenèse,Symbiose,Méiose,B
Animaux,Expert,Fréquence infrasons éléphant ?,500 Hz,100 Hz,<20 Hz,1000 Hz,C
Animaux,Intermédiaire,Lequel de ces animaux hiberne ?,L'ours brun,L'écureuil,Le loup,Le hérisson,D
Animaux,Expert,Vitesse manchot papou ?,10 km/h,36 km/h,20 km/h,50 km/h,B
Animaux,Expert,Distance ouïe loup ?,2 km,5 km,10 km,16 km,D
Animaux,Facile,Quel insecte pique et meurt souvent après ?,Le moustique,La guêpe,L'abeille,Le frelon,C
Animaux,Intermédiaire,Combien de temps un paresseux met-il pour digérer un repas ?,1 jour,1 semaine,1 mois,2 semaines,D
Animaux,Expert,Organes proches porc ?,Singe,Chien,Humain,Mouton,C
Animaux,Facile,Quel animal vit dans un nid ?,L'oiseau,Le poisson,Le serpent,Le chien,A
Animaux,Expert,Longueur ténia humain ?,1m,10m+,5m,20m,B
Animaux,Expert,Nom scientifique tigre ?,Leo,Tigris,Catus,Onca,B
Animaux,Expert,Densité poils loutre mer ?,Ours,Castor,Loutre mer,Phoque,C
Animaux,Expert,Poids bébé panda ?,1kg,500g,100g,2kg,C
Animaux,Expert,Prédateur calmar géant ?,Blanc,Groenland,Orque,Cachalot,D
Animaux,Expert,Nombre plumes colibri ?,10 000,5000,1000,20 000,C
Animaux,Intermédiaire,Quel animal a la langue la plus longue par rapport à sa taille ?,La girafe,Le fourmilier,Le caméléon,Le pic-vert,C
Animaux,Intermédiaire,Quelle est la température interne moyenne d'un chien ?,38.5°C,37°C,40°C,36°C,A
Animaux,Intermédiaire,Combien de pattes a un crabe ?,6,10,8,12,B
Animaux,Expert,Pollinisateur cacao ?,Abeille,Papillon,Cécidomyie,Chauve-souris,C
Animaux,Facile,Lequel de ces animaux pond des œufs ?,Le crocodile,Le dauphin,La chauve-souris,Le singe,A
Animaux,Expert,Oxygène plancton ?,10%,30%,50%,70%+,D
Animaux,Intermédiaire,Quel oiseau parasite les nids ?,Le moineau,Le merle,Le coucou,Le corbeau,C
Animaux,Expert,Apnée scorpion ?,10 min,1 h,6 j,2 j,D
Animaux,Facile,Quel animal barrit ?,Le lion,Le chat,Le loup,L'éléphant,D
Animaux,Intermédiaire,Quel mammifère est le plus braconné ?,L'éléphant,Le pangolin,Le rhinocéros,Le tigre,B
Animaux,Facile,Quel insecte a des points noirs sur les ailes rouges ?,L'abeille,La mouche,Le papillon,La coccinelle,D
Animaux,Intermédiaire,Quel est le plus petit mammifère ?,La souris,Le ouistiti,La pachyure étrusque,Le hamster,C
Animaux,Facile,Quel est l'animal qui glousse ?,La poule,Le canard,Le dindon,L'oie,A
Animaux,Expert,Protéine fluo méduse ?,Luciférase,Hémo,Kératine,GFP,D
Animaux,Intermédiaire,Quel oiseau pond les œufs les plus petits ?,Le canari,Le moineau,Le colibri,La mésange,C
Animaux,Facile,Quel animal sauvage a des taches et court très vite ?,Le zèbre,Le léopard,L'ours,Le cerf,B
Animaux,Facile,Quel animal vit sur la banquise ?,Le pingouin,L'ours polaire,Le chameau,Le lion,B
Animaux,Expert,Cellules couleur caméléon ?,Neurones,Leucocytes,Chromatophores,Hématies,C
Animaux,Intermédiaire,Quel animal vit dans une catiche ?,Le renard,Le castor,Le blaireau,La loutre,D
Animaux,Expert,Plus petit reptile (Madagascar) ?,Brookesia nana,Sphaerodactylus,Pygmée,Gecko,A
Animaux,Expert,Mange méduses mortelles ?,Dauphin,Baleine,Requin,Tortue luth,D
Animaux,Intermédiaire,Quelle baleine vit le plus longtemps ?,La baleine boréale,L'éléphant,L'homme,Le cheval,A
Animaux,Expert,Lait le plus gras (60%) ?,Baleine,Phoque,Dauphin,Ours polaire,B
Animaux,Facile,Quel animal est connu pour ses bois qui tombent chaque année ?,Le cerf,Le rhinocéros,La chèvre,La vache,A
Animaux,Facile,Quel animal est surnommé le vaisseau du désert ?,Le cheval,Le dromadaire,L'âne,Le bœuf,B
Animaux,Expert,Odorat vautour aura ?,Aigle,Faucon,Vautour aura,Hibou,C
Animaux,Facile,Combien de pattes ont les araignées ?,6,10,8,12,C
Animaux,Facile,Quel animal mange principalement de l'eucalyptus ?,Le panda,Le koala,Le paresseux,Le lémurien,B
Animaux,Facile,Quel animal est un grand singe roux ?,L'orang-outan,Le gorille,Le chimpanzé,Le bonobo,A
Animaux,Intermédiaire,Quel est le nom scientifique du loup gris ?,Canis latrans,Canis lupus,Canis aureus,Vulpes vulpes,B
Animaux,Intermédiaire,Quelle espèce de requin est la seule capable de vivre en eau douce ?,Le requin tigre,Le requin marteau,Le requin bouledogue,Le requin blanc,C
Animaux,Intermédiaire,De quoi sont faites les cornes de rhino ?,La kératine,L'ivoire,L'os,Le cartilage,A
Animaux,Facile,Quel oiseau est incapable de voler ?,L'autruche,Le faucon,L'aigle,Le moineau,A
Animaux,Intermédiaire,Quel est le plus grand oiseau de proie ?,L'aigle royal,Le pygargue,Le condor des Andes,Le vautour,C
Animaux,Expert,Survie congélation ?,Crapaud,Lézard,Serpent,Grenouille bois,D
Animaux,Facile,Quel oiseau a une queue qui fait la roue ?,Le canard,Le paon,L'oie,Le dindon,B
Animaux,Facile,Où vit le poisson ?,Dans une forêt,Dans les nuages,Dans un terrier,Dans l'eau,D
Animaux,Facile,Quel animal est réputé pour sa ruse dans les fables ?,Le lion,Le renard,Le loup,L'agneau,B
Animaux,Expert,Espèces fourmis ?,2000,5000,12 000+,50 000,C
Animaux,Expert,Bourses de sirène ?,Métal,Transparente/Formes,Corne,Comestible,B
Animaux,Facile,Quel est le cri de l'âne ?,Le rugissement,Le miaulement,Le braiement,L'aboiement,C
Animaux,Intermédiaire,Quel est le poids du cœur de la baleine bleue ?,50 kg,500 kg,180 kg,1 tonne,C
Animaux,Facile,Comment appelle-t-on le cri du canard ?,Le cancanement,Le caquètement,Le chant,Le sifflement,A
Animaux,Facile,Quel animal est le plus haut du monde ?,La girafe,L'éléphant,L'autruche,Le dromadaire,A
Animaux,Facile,Comment appelle-t-on le petit de la vache ?,Le poulain,Le porcelet,Le veau,Le chevreau,C
Animaux,Expert,Vertèbres serpent ?,30,300+,100,500,B
Animaux,Expert,Oiseau avec plus de plumes ?,Paon,Manchot empereur,Colibri,Cygne siffleur,D
Animaux,Expert,Méduse immortelle ?,Chironex,Physalia,Aurelia,Turritopsis dohrnii,D
Animaux,Intermédiaire,Lequel change de sexe ?,Le requin,La baleine,Le dauphin,Le poisson-clown,D
Animaux,Expert,Venin cobra royal (quantité) ?,1mg,10mg,7ml,100ml,C
Animaux,Expert,Sacs aériens oiseaux ?,Digestion,Léger,Eau,Respi continue,D
Animaux,Facile,Quel oiseau sort la nuit ?,Le pigeon,L'hirondelle,Le hibou,Le cygne,C
Animaux,Expert,Outil corbeau ?,Moineau,Pigeon,Aigle,Calédonien,D
Animaux,Expert,Sommeil paresseux (%) ?,75%,50%,90%,95%,A
Animaux,Expert,Pupille en W ?,Chat,Poulpe,Mouton,Seiche,D
Animaux,Intermédiaire,Lequel de ces animaux n'est pas un poisson ?,Le requin,L'hippocampe,La raie,Le dauphin,D
Animaux,Intermédiaire,Combien de temps dort un lion ?,5 heures,10 heures,20 heures,23 heures,C
Animaux,Facile,Quel est le cri du lion ?,Le hululement,Le rugissement,Le braiement,Le jappement,B
Animaux,Intermédiaire,Quelle est la vitesse maximale d'un guépard ?,110 km/h,80 km/h,140 km/h,160 km/h,A
Animaux,Intermédiaire,Combien de temps vit une tortue géante ?,Plus de 150 ans,100 ans,50 ans,300 ans,A
Animaux,Intermédiaire,Combien de cœurs possède une pieuvre ?,1,2,3,4,C
Animaux,Facile,Comment s'appelle le cri du chat ?,Le rugissement,Le bêlement,Le miaulement,Le jappement,C
Animaux,Expert,Longévité après tortue ?,Éléphant,Gorille,Jaco,Tuatara,D
Animaux,Expert,Neurones hors humain ?,Chimp,Éléphant,Dauphin,Orque,B
Animaux,Facile,Quel animal ressemble à un gros lézard avec une langue fourchue ?,La grenouille,Le caméléon,Le crocodile,Le serpent,D
Animaux,Facile,Quel animal vit dans une écurie ?,Le cochon,La poule,Le cheval,Le canard,C
Animaux,Intermédiaire,Quel animal possède la morsure la plus puissante du monde animal ?,Le grand requin blanc,L'hippopotame,Le crocodile du Nil,Le lion,C
Animaux,Facile,Quel animal peut vivre dans le désert sans boire longtemps ?,Le chameau,Le lion,L'éléphant,Le zèbre,A
Animaux,Intermédiaire,Lequel est un invertébré ?,Le serpent,Le poisson,La grenouille,La pieuvre,D
Animaux,Intermédiaire,Prédateur du requin blanc ?,Le lion de mer,Aucun,Le cachalot,L'orque,D
Animaux,Expert,Sel sang poisson mer ?,+ salé,Idem,- salé,Pas de sel,C
Animaux,Intermédiaire,Quel est le poisson le plus rapide ?,Le requin mako,L'espadon voilier,Le thon rouge,Le barracuda,B
Animaux,Facile,Quel est l'animal terrestre le plus rapide ?,Le lion,Le cerf,Le guépard,Le lièvre,C
Animaux,Facile,Quel mammifère marin est connu pour ses sauts hors de l'eau ?,Le dauphin,La baleine,Le phoque,Le morse,A
Animaux,Expert,Adhésif moule ?,Fibroïne,Kératine,Byssus,Chitine,C
Animaux,Facile,Quel animal pond des œufs ?,Le lapin,La souris,La poule,Le chien,C
Animaux,Facile,Quel animal a des rayures noires et blanches ?,Le léopard,Le zèbre,Le tigre,Le lion,B
Animaux,Expert,Génome le plus grand (2021) ?,L'humain,Le blé,L'éléphant,Le dipneuste,D
Animaux,Intermédiaire,Quel animal est connu pour 'rire' ?,Le hyène,Le singe,Le perroquet,Le dauphin,A
Animaux,Facile,Quel animal saute pour se déplacer en Australie ?,Le kangourou,Le koala,Le wombat,Le dingo,A
Animaux,Expert,Plus gros testicules / poids ?,Criquet,Chimpanzé,Lion,Baleine,A
Animaux,Intermédiaire,Vie d'un lion sauvage ?,30-35 ans,20-25 ans,10-14 ans,5-7 ans,C
Animaux,Expert,Pression Blobfish ?,100x,10x,1000x,5000x,A
Animaux,Expert,Plus longue langue / corps ?,Caméléon,Chauve-souris nectar,Fourmilier,Girafe,B
Animaux,Facile,Quel animal bêle ?,Le chien,Le cheval,Le mouton,Le lion,C
Animaux,Intermédiaire,Quel est l'animal le plus venimeux du monde ?,Le cobra royal,Le taïpan du désert,La veuve noire,Le scorpion doré,B
Animaux,Facile,Quel animal est considéré comme le meilleur ami de l'homme ?,Le chien,Le chat,Le cheval,Le lapin,A
Animaux,Facile,Quel animal construit des barrages sur les rivières ?,Le loutre,L'ornithorynque,Le rat musqué,Le castor,D
Animaux,Intermédiaire,Quel oiseau symbolise la sagesse ?,La colombe,Le paon,L'aigle,La chouette,D
Animaux,Intermédiaire,Quel oiseau fait du vol stationnaire ?,Le colibri,L'aigle,Le faucon,L'hirondelle,A
Animaux,Expert,Pigment plumes vertes ?,Chlorophylle,Mélanine,Psittacofulvine,Carotène,C
Animaux,Intermédiaire,Comment s'appelle la science des oiseaux ?,L'ornithologie,L'ichtyologie,L'entomologie,L'herpétologie,A
Animaux,Intermédiaire,Quelle est la vitesse de pointe d'une autruche ?,40 km/h,90 km/h,70 km/h,110 km/h,C
Animaux,Facile,Quel est le petit de la poule ?,Le caneton,Le poussin,L'oisillon,Le levraut,B
Animaux,Expert,Orgasme cochon ?,30 sec,5 min,30 min,1 heure,C
Animaux,Intermédiaire,Combien de dents un escargot peut-il avoir ?,Aucune,Environ 100,Environ 500,Plus de 10 000,D
Animaux,Intermédiaire,Lequel est un ruminant ?,Le cheval,Le lapin,Le cochon,La vache,D
Animaux,Intermédiaire,Quel est l'oiseau de proie le plus rapide en piqué ?,L'aigle royal,Le balbuzard,Le vautour fauve,Le faucon pèlerin,D
Animaux,Expert,Cœur 4 cavités (reptile) ?,Crocodile,Serpent,Tortue,Lézard,A
Animaux,Intermédiaire,Quelle est la fonction des rayures du zèbre ?,Le camouflage forestier,La régulation thermique,La reconnaissance sociale,Perturber les mouches tsé-tsé,D
Animaux,Expert,Poids corne rhino ?,500g,1kg,6kg,3kg,D
Animaux,Expert,Larmes crocodiles ?,Bleues,Sel,Acides,Pas pleure,B
Animaux,Facile,Quel animal fait 'Meuh' ?,Le mouton,La vache,Le cheval,Le cochon,B
Animaux,Facile,Quel animal vit dans une ruche ?,L'abeille,Le bourdon,La fourmi,Le papillon,A
Animaux,Facile,Quel animal vit dans une fourmilière ?,L'abeille,La guêpe,Le termite,La fourmi,D
Animaux,Expert,Variété sons (2000) ?,Dauphin,Chimp,Moqueur polyglotte,Baleine,C
Animaux,Expert,Change texture peau ?,Caméléon,Pieuvre mimétique,Seiche,Gecko,B
Animaux,Facile,Comment appelle-t-on le mâle de la vache ?,Le bœuf,Le veau,Le taureau,Le mouton,C
Animaux,Intermédiaire,Quel mammifère a une dent-corne ?,La baleine,Le dauphin,Le narval,Le morse,C
Animaux,Expert,Plus basse T° hiberne ?,Ours,Hérisson,Spermophile artique,Chauve-souris,C
Animaux,Expert,Animal Velcro ?,Tique,Mouche,Bardane/Chien,Chien,D
Animaux,Expert,Gros œil (30cm) ?,Baleine,Éléphant,Calmar colossal,Autruche,C
Animaux,Expert,Estomac requin (éversion) ?,Vomissement,Nettoyage,Protection,Manger,B
Animaux,Facile,Où vivent principalement les manchots ?,Au Pôle Sud,Au Pôle Nord,En Amazonie,Dans le Sahara,A
Animaux,Expert,Seul mammifère à écailles ?,Le tatou,L'échidné,Le pangolin,Le porc-épic,C
Animaux,Intermédiaire,Quel est l'animal qui possède le plus de pattes ?,Le mille-pattes,L'araignée,Le centipède,Le crabe,A
Animaux,Intermédiaire,Quelle est la durée de vie d'une mouche ?,24 heures,30 jours,6 mois,1 an,B
Animaux,Expert,PSI mâchoire croco marin ?,1000,2500,3700,5000,C
Animaux,Intermédiaire,Quel animal tue le plus d'humains ?,Le requin,Le lion,Le serpent,Le moustique,D
Animaux,Intermédiaire,Quel animal terrestre a les plus grands yeux ?,L'autruche,L'éléphant,La girafe,Le lion,A
Animaux,Intermédiaire,Quel est le cri de la cigale ?,Le cymbalisation,Le craquètement,Le chant,Le sifflement,A
Animaux,Facile,Quel animal sauvage ressemble à un gros chat avec des taches ?,Le tigre,Le léopard,Le loup,L'ours,B
Animaux,Facile,Quel est le cri du chien ?,Le miaulement,Le rugissement,L'aboiement,Le braiement,C
Animaux,Facile,Quel animal a des piquants sur le dos ?,Le lapin,Le rat,L'écureuil,Le hérisson,D
Animaux,Expert,Vision la plus complexe ?,Crevette-mante,L'aigle,Le chat,La mouche,A
Animaux,Expert,Globule rouge chien ?,20j,1 an,200j,100-120j,D
Animaux,Intermédiaire,Quel organe les requins utilisent-ils pour détecter les champs électriques ?,La ligne latérale,L'évent,Les ampoules de Lorenzini,Les branchies,C
Animaux,Expert,Langue / corps ?,Bat tubulaire,Caméléon,Fourmilier,Girafe,A
Animaux,Intermédiaire,Dents des rongeurs ?,Ne repoussent pas,Que deux,Poussent en continu,En bois,C
Animaux,Expert,Mimétisme protection ?,Parthé,Symbiose,Commen,Batésien,D
Animaux,Expert,Trous bec ornithorynque ?,Respirer,Sentir,Électro-impulsions,Manger,C
Animaux,Expert,Force G pivert ?,1200,100,10,5000,A
Animaux,Facile,Quel animal vit dans un clapier ?,Le lapin,Le chien,Le chat,Le furet,A
Animaux,Expert,Voit UV et IR ?,Serpent,Chat,Abeille,Poisson rouge,D
Animaux,Intermédiaire,Lequel de ces serpents est le plus long du monde ?,Le mamba noir,Le cobra royal,L'anaconda vert,Le python réticulé,D
Animaux,Intermédiaire,Combien de tentacules a une méduse ?,Exactement 8,Cela varie,Toujours 12,Aucune,B
Animaux,Facile,Quel animal fait une toile pour attraper des mouches ?,Le papillon,La coccinelle,La fourmi,L'araignée,D
Animaux,Intermédiaire,Quel est le seul oiseau capable de voler à reculons ?,Le faucon pèlerin,L'hirondelle,Le colibri,Le martin-pêcheur,C
Animaux,Intermédiaire,Quel est le plus grand reptile vivant ?,La tortue luth,Le dragon de Komodo,Le crocodile marin,L'anaconda,C
Animaux,Intermédiaire,Quel est le nom du plus gros rongeur du monde ?,Le capybara,Le castor,Le ragondin,Le porc-épic,A
Animaux,Intermédiaire,Fonction des moustaches du chat ?,L'équilibre,Détection mouvement,Le goût,L'ouïe,B
Animaux,Facile,Quel poisson est connu pour son excellente mémoire dans les dessins animés ?,Le requin,Le poisson rouge,Le poisson-clown,Le piranha,B
Animaux,Expert,Os pénis mammifère ?,Tibia,Fémur,Humérus,Baculum,D
Animaux,Expert,Perroquet qui ne vole pas ?,Le lori,Le kea,Le kakapo,Le conure,C
Animaux,Expert,Social hyène tachetée ?,Patriarcat,Matriarcat,Anarchie,Monarchie,B
Animaux,Intermédiaire,Quel est le nom de l'ordre auquel appartiennent les baleines ?,Cetacea,Sirenia,Carnivora,Pinnipedia,A
Animaux,Expert,Cri le plus puissant / taille ?,Baleine bleue,Dauphin,Crevette pistolet,Lion de mer,C
Animaux,Facile,Quel oiseau symbolise la paix ?,Le corbeau,Le perroquet,L'aigle,La colombe,D
Animaux,Facile,Quel félin possède une crinière chez le mâle ?,Le tigre,Le léopard,Le lion,Le guépard,C
Animaux,Intermédiaire,Quel animal possède la plus grande envergure ?,L'albatros hurleur,Le condor des Andes,L'aigle royal,Le pélican,A
Animaux,Expert,T° corps oiseau vol ?,37°C,42°C,39°C,45°C,B
Animaux,Expert,Groupe corbeaux (Murder) ?,Pride,Murder,Pack,School,B
Animaux,Intermédiaire,De quoi se nourrit essentiellement le flamant rose ?,De crevettes,De plancton,De petits poissons,D'algues bleues,A
Animaux,Facile,Quel animal a une carapace ?,Le serpent,La tortue,La grenouille,Le lézard,B
Animaux,Intermédiaire,Quel animal a la peau la plus épaisse ?,Le rhinocéros,L'hippopotame,L'éléphant,Le requin baleine,D
Animaux,Facile,Quel animal vit dans un terrier ?,Le lapin,Le chat,L'oiseau,Le poisson,A
Animaux,Expert,Cri hurleur roux ?,5 km,Imite oiseau,Inaudible,Rire,A
Animaux,Facile,Quel animal est célèbre pour sa lenteur ?,Le lièvre,L'escargot,Le guépard,Le renard,B
